,customer_id,show_id,customer_name,age,gender,country,subscription_type,watch_time_minutes,rating
6214,c11214,s10914,Jeffrey Morris,28,Male,Australia,Premium,1060,5
6215,c11215,s9586,Jessica Dixon,23,Female,UK,Premium,2630,5
6216,c11216,s15258,Tiffany Kelley,26,Female,Brazil,Standard,1525,4
6217,c11217,s19187,Eric Grimes,30,Other,Brazil,Premium,3183,3
6219,c11219,s20907,Raymond Lopez,71,Male,Japan,Basic,3936,4
6221,c11221,s14771,Jamie Alvarado,31,Other,Brazil,Premium,2414,3
6222,c11222,s1015,Daniel Olson,38,Female,Australia,Basic,3022,5
6223,c11223,s18079,Amber Kelly,15,Male,USA,Premium,4665,3
6225,c11225,s15693,Troy Olson,29,Female,Japan,Premium,557,2
6226,c11226,s18506,Mr. Anthony Webb,44,Other,India,Basic,2201,5
6227,c11227,s4426,Matthew Estrada,76,Female,South Korea,Premium,2855,2
6228,c11228,s11678,Jonathan Cruz,66,Other,Australia,Basic,1863,4
6229,c11229,s9237,Heidi Donovan,66,Female,Brazil,Basic,2544,1
6230,c11230,s5238,Michael Hughes,64,Other,USA,Premium,624,2
6231,c11231,s20662,Michael Frost,13,Male,Canada,Basic,3150,4
6232,c11232,s11027,John Taylor,68,Male,Australia,Standard,881,3
6234,c11234,s18833,Daniel Hancock,25,Other,Japan,Premium,4977,2
6235,c11235,s20374,Sandra Romero PhD,14,Male,Australia,Standard,4922,5
6238,c11238,s9305,Maria Evans,19,Female,UK,Basic,1719,5
6239,c11239,s17509,Alexis Williams,57,Other,Japan,Basic,2738,2
6242,c11242,s1092,Danny Mendoza,16,Female,India,Standard,2074,1
6243,c11243,s10762,Michael Vargas,80,Other,UK,Standard,3262,5
6244,c11244,s6773,Lauren Robinson,48,Female,USA,Basic,2570,4
6245,c11245,s19839,Kelli Boyd,70,Other,Australia,Standard,3211,2
6247,c11247,s9975,David Rodriguez,22,Male,France,Premium,3481,5
6251,c11251,s16490,Andrea Harris,50,Male,Canada,Premium,4235,1
6252,c11252,s10106,Jacqueline Cross,35,Female,Australia,Standard,3524,1
6253,c11253,s2233,Dr. Michelle Gross DVM,74,Female,India,Basic,4993,1
6255,c11255,s10234,Carrie Boyer,53,Other,Brazil,Standard,93,4
6256,c11256,s4381,Katie Wilson,14,Male,Brazil,Standard,952,3
6257,c11257,s9673,Chad Parks,53,Male,USA,Basic,78,1
6258,c11258,s4799,Michael Nguyen,40,Female,Brazil,Standard,4955,4
6260,c11260,s11896,Alyssa Downs,21,Male,Japan,Premium,4458,5
6261,c11261,s19519,John Zimmerman DDS,72,Other,USA,Premium,2748,4
6264,c11264,s1691,John Mckenzie,24,Other,UK,Basic,4307,5
6265,c11265,s16685,Mary Benson,27,Other,France,Premium,20,2
6267,c11267,s18637,Jennifer Harris,14,Female,France,Standard,4604,1
6268,c11268,s17456,Ronnie Gomez,29,Other,Germany,Standard,1959,2
6269,c11269,s6233,Joseph West,66,Female,Japan,Premium,2057,5
6270,c11270,s18904,David Moody,50,Other,South Korea,Premium,4358,4
6271,c11271,s17930,Eric Weiss,18,Male,Germany,Premium,3270,5
6272,c11272,s16771,Kelsey Acosta,28,Other,UK,Basic,4519,4
6273,c11273,s18302,Laura Henderson,75,Male,France,Standard,479,2
6275,c11275,s6154,Rebecca York,54,Female,USA,Premium,296,1
6277,c11277,s20166,Phillip Bell,39,Female,South Korea,Premium,4505,2
6279,c11279,s5806,Jennifer Kelley,36,Female,India,Premium,3646,2
6280,c11280,s4553,Drew Clayton,51,Other,USA,Basic,3281,3
6281,c11281,s13035,Lisa Olson,78,Other,India,Standard,4887,2
6282,c11282,s6007,Jennifer Thompson,40,Male,South Korea,Basic,2566,1
6284,c11284,s9027,Emily Rodriguez,71,Other,Germany,Standard,4679,4
6285,c11285,s3533,Sandra Hill,49,Other,Japan,Standard,204,1
6286,c11286,s20404,Shirley Herrera,18,Female,USA,Basic,964,3
6287,c11287,s13418,Emma Gray,34,Male,Brazil,Standard,1836,5
6288,c11288,s15289,Randy Jimenez,44,Male,USA,Premium,1134,1
6289,c11289,s8096,Paul Shaw,80,Male,South Korea,Standard,580,1
6290,c11290,s18147,Donna Velazquez DVM,33,Female,Germany,Standard,4061,3
6292,c11292,s3781,Victoria Gonzalez,79,Other,Japan,Premium,1200,1
6295,c11295,s9553,Jennifer Mata,36,Male,Brazil,Standard,2382,3
6296,c11296,s18166,Steven Torres,72,Male,South Korea,Standard,437,4
6297,c11297,s9624,Rebecca Newman,41,Other,Australia,Premium,105,3
6298,c11298,s9297,Cristina Gonzalez,57,Other,Germany,Basic,4089,5
6299,c11299,s4102,Sherry Beltran,17,Other,France,Premium,3758,4
6301,c11301,s7072,Michael Walsh,32,Male,India,Standard,3468,5
6302,c11302,s5039,Tammy Williams,19,Female,France,Premium,2240,5
6303,c11303,s19646,John Coleman,74,Other,USA,Basic,3201,5
6305,c11305,s5437,Jessica Meyers,29,Male,Germany,Standard,712,2
6307,c11307,s3343,Christian Mullins,36,Male,South Korea,Standard,2435,5
6309,c11309,s20566,Brandon Nichols,34,Male,South Korea,Standard,1779,1
6310,c11310,s5353,Jeffrey Bowen,67,Other,Canada,Premium,2225,2
6311,c11311,s11673,Mrs. Melissa Bell MD,57,Female,Japan,Standard,1828,5
6314,c11314,s17201,Erin Price,20,Other,Brazil,Premium,1786,1
6315,c11315,s10949,Crystal Garcia,41,Female,Australia,Basic,1169,1
6316,c11316,s17748,Johnny Bond,15,Other,Germany,Standard,159,1
6317,c11317,s4508,Mary Green,16,Other,Brazil,Basic,3040,1
6318,c11318,s8460,Shelby Ramirez,56,Female,South Korea,Basic,4999,1
6321,c11321,s18977,Michael Yates,49,Male,France,Premium,3114,4
6323,c11323,s9818,Kimberly Rivera,65,Other,UK,Basic,643,2
6324,c11324,s7943,Nicholas Howard,18,Male,UK,Basic,3840,5
6325,c11325,s3253,William Johnson,25,Male,France,Premium,674,1
6326,c11326,s8460,Lisa Houston,34,Other,Australia,Standard,1026,1
6328,c11328,s7295,Heather Anderson,79,Other,South Korea,Standard,725,1
6329,c11329,s20417,Sara Herrera,27,Male,Canada,Standard,1028,4
6330,c11330,s20509,Tammy Henson,16,Male,USA,Premium,1245,5
6332,c11332,s16169,Jackie Boyer,72,Female,France,Premium,4554,1
6333,c11333,s19384,Roger Kim,18,Other,Brazil,Basic,4629,3
6334,c11334,s11105,Vincent Sanchez DDS,26,Other,Brazil,Premium,4876,4
6336,c11336,s1186,Andrew Austin,79,Other,UK,Standard,2146,1
6337,c11337,s9375,Tommy Blackwell,34,Male,Brazil,Standard,4805,1
6338,c11338,s8106,Christopher Cherry,58,Male,UK,Standard,1342,3
6339,c11339,s14992,Barbara Watkins,66,Female,Australia,Premium,4066,3
6341,c11341,s4120,Katie Waller,60,Male,France,Premium,1324,5
6342,c11342,s8894,Mark Bryant,15,Male,Germany,Basic,3586,4
6343,c11343,s19307,Kathryn Nolan,73,Female,Brazil,Basic,1739,3
6346,c11346,s20494,Megan Perry,30,Male,France,Basic,135,3
6347,c11347,s8465,Christine Jimenez,50,Female,UK,Premium,3947,5
6348,c11348,s16404,Michael Price,55,Other,France,Standard,109,5
6349,c11349,s1437,Alexandra Rodriguez,16,Female,Australia,Basic,1926,3
6350,c11350,s2478,Eddie Tucker,48,Female,France,Standard,494,3
6351,c11351,s16927,Charles Lee,49,Other,UK,Basic,1339,1
6352,c11352,s6610,Hector Smith,41,Male,Brazil,Basic,3297,1
6354,c11354,s2227,Michele Thomas,72,Male,USA,Basic,444,5
6356,c11356,s9502,Christie Orozco,78,Female,South Korea,Standard,1910,1
6357,c11357,s14209,Steven Pruitt,14,Male,Brazil,Basic,3603,4
6359,c11359,s18358,Anthony Howard,79,Other,South Korea,Premium,167,1
6360,c11360,s14943,Timothy Garcia,73,Female,France,Basic,910,2
6361,c11361,s12702,Loretta Larson,35,Other,Germany,Basic,3111,1
6363,c11363,s10866,Seth Martinez III,51,Male,Brazil,Standard,882,4
6364,c11364,s13009,Victoria Gonzalez,51,Other,Japan,Standard,1226,5
6365,c11365,s2191,Leslie Wilkinson,39,Female,UK,Basic,1275,5
6366,c11366,s10316,Jennifer Walker,76,Female,Australia,Premium,4589,4
6371,c11371,s19975,Sherry Mcpherson,15,Other,Brazil,Basic,4256,3
6375,c11375,s4016,Linda Taylor,42,Female,India,Basic,2199,5
6376,c11376,s13507,James Smith,38,Other,Japan,Premium,2087,1
6377,c11377,s12870,Kristy Little,21,Female,USA,Basic,1126,2
6379,c11379,s5363,Michael Gonzalez,69,Male,Australia,Basic,728,1
6380,c11380,s15382,Douglas Collins,48,Male,Japan,Premium,4992,3
6381,c11381,s2509,Justin Randall,69,Other,USA,Premium,837,3
6382,c11382,s15410,Jacqueline Bruce,17,Other,USA,Premium,1419,4
6383,c11383,s11209,Stacy Hill,60,Male,France,Basic,2094,4
6384,c11384,s13912,Nicholas Holmes,56,Other,South Korea,Premium,3361,4
6385,c11385,s8897,Jessica Wright,79,Female,Germany,Basic,4484,5
6386,c11386,s9485,Emily Wallace,51,Other,UK,Standard,3570,5
6387,c11387,s15342,John Rodriguez,51,Other,Brazil,Basic,1009,1
6389,c11389,s18158,Dale Bryant,35,Female,South Korea,Basic,3442,3
6390,c11390,s9659,Dawn Hunt,68,Other,Japan,Premium,1891,3
6391,c11391,s5472,Lori Mccormick,15,Male,UK,Basic,4743,1
6392,c11392,s16013,April Robertson,79,Male,Canada,Basic,1808,2
6393,c11393,s20583,Lisa White,42,Male,USA,Premium,4496,5
6397,c11397,s14125,Jessica Banks,33,Other,Australia,Standard,4662,1
6398,c11398,s10201,Christopher Dodson,58,Female,Germany,Standard,581,4
6399,c11399,s9518,Dana Graham,71,Male,France,Standard,940,1
6400,c11400,s5301,Michael Beck,39,Female,India,Premium,3512,4
6402,c11402,s7601,Jeremy Page,76,Female,France,Standard,1482,4
6404,c11404,s11007,Brandon Hubbard,76,Other,Germany,Standard,38,5
6405,c11405,s5937,Debbie Wright,74,Female,South Korea,Basic,1230,3
6406,c11406,s6389,Steven Braun,57,Female,Brazil,Standard,3200,1
6408,c11408,s7373,Emily Gardner,39,Male,France,Premium,4555,5
6409,c11409,s11908,Sierra Lawrence,61,Other,Brazil,Premium,3040,3
6412,c11412,s4436,Natasha Holloway,21,Female,USA,Standard,2148,4
6413,c11413,s6279,Daniel Hernandez,37,Female,Japan,Premium,4233,3
6414,c11414,s10579,Michael Webb,19,Other,Japan,Basic,2527,1
6416,c11416,s11939,Jonathan Peterson,70,Other,Japan,Basic,1767,3
6417,c11417,s3339,Arthur Weeks,69,Other,UK,Standard,2006,2
6419,c11419,s3784,Mark Morales,68,Other,India,Basic,2457,3
6420,c11420,s14690,Mark Santos,25,Female,UK,Premium,178,1
6421,c11421,s20856,Chelsea Shannon,42,Other,Australia,Basic,3327,1
6422,c11422,s11524,Katrina Rojas,25,Female,France,Basic,693,1
6423,c11423,s9118,Robert Castro,14,Female,France,Premium,4228,3
6424,c11424,s12824,Michele Flores,50,Female,UK,Basic,1879,4
6430,c11430,s11018,Lindsay Harper,14,Other,India,Standard,3849,4
6431,c11431,s1445,Monica Martin,68,Male,Germany,Premium,1335,5
6432,c11432,s6979,Eddie Martinez,74,Male,Japan,Standard,3567,5
6433,c11433,s8182,Jessica Hardy,28,Male,Brazil,Premium,3525,4
6435,c11435,s8237,Robert Williams,53,Other,Canada,Standard,602,4
6436,c11436,s11331,Kristine Berry,68,Other,India,Basic,508,1
6437,c11437,s11514,Stephen Shelton,26,Male,USA,Standard,1618,4
6439,c11439,s1664,Dawn Garcia,65,Male,Germany,Basic,2729,2
6442,c11442,s3896,Roger Sanders PhD,57,Other,India,Premium,3656,1
6444,c11444,s17105,Beth Lara,34,Male,India,Premium,2055,5
6445,c11445,s5418,Mary Valencia,71,Male,Canada,Premium,585,2
6446,c11446,s10710,Elizabeth Chase,67,Other,Brazil,Premium,4327,1
6447,c11447,s14815,Lauren Ellis,69,Male,USA,Standard,2705,1
6451,c11451,s19066,Kyle Howell,65,Male,Australia,Standard,1732,4
6453,c11453,s7597,Stephanie George,15,Other,France,Basic,1419,5
6454,c11454,s18717,Anthony Curry,31,Male,Australia,Basic,4204,1
6455,c11455,s1078,Jose Lopez,73,Other,Brazil,Basic,4162,2
6457,c11457,s7337,Anthony Ramos,18,Other,UK,Premium,4369,2
6459,c11459,s19275,Jason Cameron,67,Male,USA,Premium,3107,5
6460,c11460,s11288,Christopher Hall,30,Male,Australia,Standard,1994,4
6461,c11461,s2783,Jesse Medina,67,Other,USA,Basic,4475,1
6462,c11462,s11495,Rachel Gonzalez,36,Male,USA,Premium,4562,3
6464,c11464,s18807,Kelly Simmons,27,Other,Canada,Standard,2339,4
6465,c11465,s15211,Tony Heath,40,Other,Canada,Premium,63,5
6469,c11469,s1576,Jeffery Morgan,16,Female,Japan,Premium,3096,2
6471,c11471,s16914,Jo Smith,35,Female,France,Premium,2952,3
6473,c11473,s19829,Ashley Coleman,43,Male,Japan,Standard,2900,2
6474,c11474,s2684,Rachael Thomas,26,Male,UK,Basic,452,4
6475,c11475,s16831,Ashley Mccullough,32,Male,Brazil,Standard,384,1
6476,c11476,s17211,Kelly Patterson,51,Male,Germany,Standard,3157,3
6477,c11477,s10157,Lori Cruz,23,Male,UK,Premium,4139,4
6478,c11478,s18258,Kevin Hubbard,76,Female,France,Premium,3729,3
6479,c11479,s13318,Christopher Payne,56,Other,India,Premium,591,1
6480,c11480,s14438,Julia Becker,26,Other,Australia,Standard,432,2
6481,c11481,s13502,Gilbert Chung,45,Female,Canada,Premium,2358,2
6482,c11482,s9485,Amy Nguyen,80,Male,Australia,Basic,2802,1
6483,c11483,s11972,Zachary Stevenson,36,Other,Japan,Basic,4771,2
6484,c11484,s1957,Peter Cummings,34,Other,France,Basic,2883,2
6485,c11485,s1283,Gloria Meyer,21,Female,France,Standard,633,5
6486,c11486,s14029,Sarah Andrews,74,Female,France,Standard,3683,2
6487,c11487,s14898,Amanda Carter,72,Female,Germany,Premium,2266,3
6488,c11488,s7543,Christopher Suarez,33,Other,UK,Standard,20,4
6491,c11491,s20761,Todd Meza,65,Male,Australia,Basic,1425,3
6492,c11492,s7960,Anita Berg,73,Female,South Korea,Basic,1887,1
6493,c11493,s18425,Dawn Daniels,49,Other,France,Standard,3513,3
6494,c11494,s17675,Christine Johnson,47,Other,France,Premium,2354,2
6495,c11495,s8480,Amber Guzman,69,Male,France,Basic,2214,1
6496,c11496,s20948,Mark Malone,47,Male,Germany,Standard,2560,4
6497,c11497,s8714,Jamie Lee,69,Other,Japan,Basic,4289,1
6499,c11499,s4706,Joshua Sanchez,49,Male,UK,Standard,2331,5
6500,c11500,s18897,Amanda Pennington,29,Female,Germany,Standard,4550,4
6501,c11501,s2367,Rebecca Boyle,52,Female,Germany,Standard,1355,3
6502,c11502,s6445,Debra Smith,60,Female,South Korea,Basic,4702,1
6503,c11503,s5246,Jennifer Ward,48,Male,Germany,Basic,3361,4
6506,c11506,s7235,Jimmy Lopez,30,Other,USA,Premium,2424,2
6508,c11508,s13517,Cynthia Johnson,26,Other,Brazil,Premium,3633,1
6509,c11509,s14073,Amy Foster,26,Other,Brazil,Basic,4871,3
6511,c11511,s14793,Mark Wise,32,Male,Japan,Premium,4789,2
6512,c11512,s18908,Connie Hernandez,29,Female,UK,Standard,1379,1
6514,c11514,s9372,Robert Jones,49,Female,France,Basic,673,1
6516,c11516,s2815,Daniel Mason,41,Male,India,Standard,2462,3
6517,c11517,s18426,Julia Smith,26,Female,India,Standard,2601,1
6520,c11520,s6730,Anthony Andrews,75,Female,Australia,Standard,3845,2
6521,c11521,s9945,Richard Long,17,Male,Germany,Premium,4729,2
6522,c11522,s19918,Angela Gonzalez,15,Other,Brazil,Standard,2397,2
6524,c11524,s5542,Jeremy Hart,47,Female,USA,Standard,4559,2
6526,c11526,s7549,Amber Fitzpatrick,51,Female,Brazil,Basic,719,1
6527,c11527,s12256,Christopher Evans,57,Other,USA,Standard,3289,3
6528,c11528,s14487,Karen Lee,68,Male,Japan,Premium,785,4
6529,c11529,s13097,Cesar Johnson,70,Female,Australia,Premium,1229,4
6530,c11530,s3694,Amy Crane,44,Female,India,Premium,896,4
6531,c11531,s2276,Kristin Gentry,34,Other,South Korea,Standard,3126,1
6532,c11532,s5276,Kevin Hood,57,Female,Germany,Basic,3740,1
6533,c11533,s15653,Karen Kelly,49,Female,Brazil,Standard,2756,3
6534,c11534,s10037,Vanessa Ball,75,Female,India,Basic,54,2
6537,c11537,s12750,Kimberly Watson,56,Other,South Korea,Standard,1807,2
6538,c11538,s19772,Mr. Caleb Smith,55,Other,India,Basic,2642,2
6541,c11541,s5289,Sherry Hernandez,21,Other,India,Standard,587,3
6542,c11542,s18593,Charles Washington,71,Female,USA,Basic,231,2
6543,c11543,s8870,Christine Carrillo,42,Male,Germany,Basic,4926,3
6544,c11544,s18198,Kimberly Freeman,33,Male,India,Basic,3413,4
6547,c11547,s20326,Jeffery Irwin,21,Other,India,Basic,1843,2
6548,c11548,s12529,Morgan Snow,73,Male,South Korea,Standard,1810,1
6549,c11549,s6796,Nicole Adams,69,Female,USA,Basic,644,5
6550,c11550,s3508,Mario Thomas,47,Other,Japan,Standard,350,2
6551,c11551,s7130,Heather Collins,41,Other,India,Basic,3700,4
6552,c11552,s10342,Carol Wilson,29,Male,Canada,Basic,4174,1
6553,c11553,s4012,Justin Conrad,37,Female,Germany,Standard,1943,4
6554,c11554,s15806,Brandon Hall,64,Female,Australia,Premium,3195,3
6555,c11555,s1674,Elizabeth Howard,24,Male,UK,Standard,1249,4
6558,c11558,s13564,Adrienne Patterson,18,Male,UK,Basic,956,1
6559,c11559,s15169,Andrew Lynch,56,Other,Brazil,Basic,774,5
6560,c11560,s7533,Sean Graves,45,Other,India,Premium,3612,1
6561,c11561,s9485,Lisa Morgan,15,Female,Australia,Basic,2905,2
6562,c11562,s3935,Jeremy Lang,48,Male,Germany,Basic,1903,4
6563,c11563,s2612,Bradley Mosley,72,Male,Brazil,Basic,1419,1
6564,c11564,s8225,Michael Johnson,47,Other,Japan,Standard,4438,1
6565,c11565,s13445,Cody Caldwell,50,Other,Germany,Basic,2937,2
6567,c11567,s14518,Mr. Johnny Miller Jr.,63,Female,UK,Standard,1521,4
6568,c11568,s2494,Jeremy Valdez DVM,22,Male,Germany,Standard,4131,1
6569,c11569,s7619,Jacob Higgins,72,Male,Australia,Premium,387,4
6570,c11570,s18848,Michael Wallace,31,Male,Japan,Standard,1560,3
6571,c11571,s3280,Alicia Stein,13,Male,France,Premium,2704,2
6572,c11572,s16995,Shannon Lawson,78,Male,South Korea,Basic,2703,1
6573,c11573,s18078,Patricia Hernandez,75,Male,South Korea,Standard,4733,1
6574,c11574,s1475,Tracy Mayer,30,Other,India,Standard,1259,5
6575,c11575,s12035,Kimberly Smith,51,Male,Canada,Premium,178,1
6577,c11577,s12954,Michael Coleman,42,Other,Australia,Standard,2479,3
6578,c11578,s18901,Kimberly Ortiz,40,Female,India,Standard,1741,5
6579,c11579,s4034,Justin Quinn,38,Female,UK,Standard,4402,5
6580,c11580,s1450,Kenneth Bennett,52,Male,Australia,Premium,4183,2
6582,c11582,s1885,Tammy Walters,29,Male,Japan,Basic,422,4
6584,c11584,s11187,Amy Evans,42,Male,Brazil,Basic,3465,4
6585,c11585,s19839,Michael Cross,65,Male,UK,Standard,2369,3
6587,c11587,s17310,Erica Carroll,37,Other,Australia,Basic,3476,4
6588,c11588,s19252,Justin Clark,32,Other,Japan,Basic,712,4
6589,c11589,s5982,Michael Jones,56,Female,Japan,Basic,2781,3
6590,c11590,s7320,Curtis Horn,34,Male,Australia,Basic,285,1
6591,c11591,s5776,Mr. Jason Norris,72,Female,Japan,Basic,4540,4
6592,c11592,s18602,Allen Copeland,73,Female,India,Basic,1246,1
6593,c11593,s7473,Nicholas Becker,46,Male,Germany,Standard,275,5
6594,c11594,s9010,Dr. Mary Luna,37,Other,France,Standard,404,1
6595,c11595,s3462,Jessica Walker,76,Other,USA,Basic,3104,2
6597,c11597,s4663,Brenda Johnston,73,Female,UK,Premium,1999,5
6598,c11598,s14545,Grace Becker,32,Other,Germany,Premium,4177,5
6601,c11601,s4836,Mark Townsend,51,Male,Brazil,Premium,315,2
6602,c11602,s20847,Michael Moore,78,Male,Brazil,Standard,1766,2
6604,c11604,s17913,Katherine Lewis,27,Other,India,Basic,1007,3
6605,c11605,s15140,Rhonda Blankenship,50,Other,India,Basic,278,2
6606,c11606,s18137,Hannah Allen,52,Other,Germany,Standard,1197,2
6607,c11607,s17926,Allen Smith,27,Other,South Korea,Premium,1045,1
6608,c11608,s16788,Ryan Rosario,34,Other,Germany,Basic,2941,4
6609,c11609,s14294,Marie Evans,47,Male,UK,Premium,1592,5
6612,c11612,s15178,Amy Mckenzie,40,Other,USA,Premium,4438,4
6613,c11613,s2186,William Wyatt,68,Other,UK,Standard,3484,1
6614,c11614,s1497,Colleen Brown,72,Male,India,Basic,1110,2
6615,c11615,s18659,Ariel Henderson,23,Male,UK,Premium,3955,3
6617,c11617,s6205,Dawn Brown,48,Female,South Korea,Premium,2633,3
6618,c11618,s19999,Connie Martinez,61,Male,Brazil,Premium,2697,4
6619,c11619,s7734,Christina Gutierrez,24,Male,Australia,Basic,4387,5
6620,c11620,s20842,Matthew Obrien,22,Female,Japan,Standard,778,4
6621,c11621,s11925,Dennis Bryant,22,Male,Germany,Basic,4354,3
6622,c11622,s12281,Amy Calhoun,62,Other,Canada,Premium,3899,2
6624,c11624,s5956,Barbara Clark,76,Other,Brazil,Premium,1881,2
6625,c11625,s10467,Kelly Campbell,46,Female,USA,Basic,482,4
6626,c11626,s9395,Susan Smith,15,Male,Germany,Premium,2227,4
6627,c11627,s15884,Maurice Davis,64,Female,India,Basic,3252,5
6628,c11628,s10708,John Mckinney,29,Other,Canada,Premium,279,2
6630,c11630,s6487,Jennifer Russell,16,Male,UK,Basic,1195,3
6631,c11631,s3234,Kelly Pierce,33,Other,USA,Standard,3607,1
6632,c11632,s15389,Shannon Johnson,73,Female,Australia,Basic,2765,3
6633,c11633,s7376,Nicole Reynolds,53,Other,India,Standard,3913,1
6634,c11634,s17339,Stephen Brooks,27,Other,Australia,Standard,4031,1
6635,c11635,s1562,James Brown,32,Other,Australia,Premium,639,3
6638,c11638,s15653,Mallory Taylor,29,Other,UK,Basic,2461,3
6639,c11639,s6065,Lisa Holland,57,Female,Japan,Basic,2427,5
6640,c11640,s9299,Jillian Woods,37,Female,Canada,Premium,1355,4
6642,c11642,s1416,Nicole Miller,53,Female,UK,Basic,2718,1
6643,c11643,s10090,Gloria Huff,24,Male,Brazil,Premium,2750,5
6645,c11645,s17296,Trevor Bruce,47,Male,Japan,Premium,1675,5
6647,c11647,s11272,Jennifer Garcia,27,Female,Brazil,Basic,2566,2
6648,c11648,s1838,Lauren Young,36,Male,Japan,Standard,4445,1
6649,c11649,s17369,John Turner,26,Other,Canada,Premium,919,1
6650,c11650,s13150,Sabrina Jordan,47,Other,France,Standard,954,5
6651,c11651,s15740,Jonathan Petersen,34,Female,Japan,Standard,18,4
6652,c11652,s7271,Rebecca George,50,Male,South Korea,Basic,1833,2
6653,c11653,s18042,Scott Phillips,73,Other,UK,Standard,1305,4
6654,c11654,s9098,Pamela Mcdowell,55,Other,Australia,Premium,360,5
6655,c11655,s14868,Robert Williams PhD,62,Male,India,Standard,3286,3
6656,c11656,s8858,Brianna Chapman,34,Other,India,Standard,4682,1
6657,c11657,s9275,Jordan Harris,18,Male,USA,Basic,2423,3
6658,c11658,s5147,Amy Poole,30,Female,South Korea,Basic,1952,1
6659,c11659,s10367,Matthew Hunter,31,Female,Brazil,Basic,4633,5
6660,c11660,s19764,Nicole Wright,16,Other,Japan,Premium,2991,4
6661,c11661,s10677,Gloria Morris,20,Male,Australia,Basic,2653,2
6662,c11662,s13762,Alexander Hernandez,14,Other,France,Basic,2398,4
6663,c11663,s9218,John Nunez,63,Other,Brazil,Standard,4078,2
6665,c11665,s6825,Christopher Zhang,79,Other,Germany,Standard,1824,5
6667,c11667,s10319,Katrina Garcia,42,Male,India,Standard,2828,2
6668,c11668,s17628,Anthony Johnson,77,Other,India,Basic,4610,2
6669,c11669,s10202,Tamara Bruce,32,Male,Japan,Standard,1769,3
6672,c11672,s12949,Bryan Zuniga,32,Other,Brazil,Basic,1630,2
6673,c11673,s8022,Mackenzie Robinson,54,Male,France,Standard,4276,2
6674,c11674,s1894,Diana Mccarthy,15,Other,USA,Standard,1419,3
6675,c11675,s10433,Michelle King DVM,72,Female,France,Basic,1745,4
6678,c11678,s20796,Allison Sanders,34,Female,Brazil,Standard,4269,1
6681,c11681,s14040,Christina Graves,47,Male,France,Basic,1826,5
6683,c11683,s9158,Adam Kemp,53,Female,USA,Standard,4415,5
6684,c11684,s7900,Justin Cunningham,76,Male,India,Basic,285,4
6685,c11685,s8889,Shannon Foster,47,Female,USA,Standard,3003,4
6686,c11686,s2543,Cynthia Ward,35,Male,USA,Premium,2126,1
6688,c11688,s17609,Bradley Miller,69,Female,Brazil,Basic,4423,1
6689,c11689,s19725,Deborah Simon,18,Female,India,Standard,1622,2
6690,c11690,s1211,Kevin Heath,35,Male,South Korea,Premium,466,1
6692,c11692,s4376,Elizabeth Gomez,70,Female,Brazil,Standard,2256,2
6693,c11693,s3681,Brett Collins,58,Other,Brazil,Standard,930,3
6695,c11695,s5219,Donald Maxwell,67,Female,France,Premium,2973,5
6696,c11696,s17797,Kristina Williams,32,Other,UK,Standard,3687,2
6697,c11697,s8117,John Jordan,45,Female,South Korea,Premium,902,2
6698,c11698,s14088,David Williams,40,Male,France,Premium,1524,2
6700,c11700,s6402,Jessica Hale,57,Other,India,Basic,3165,1
6702,c11702,s9808,Ryan Rush,17,Female,India,Premium,3525,2
6703,c11703,s3055,Jeffrey Romero,36,Other,Japan,Premium,2656,3
6705,c11705,s15402,Lisa Doyle,15,Male,South Korea,Basic,3264,3
6707,c11707,s3033,Patrick Zhang,37,Male,France,Standard,3556,4
6708,c11708,s13189,Melinda Simpson,41,Male,UK,Premium,2339,2
6709,c11709,s12538,Christine Rodgers,29,Female,Australia,Basic,2286,2
6710,c11710,s20663,Andrea Williams,75,Other,Australia,Premium,1795,2
6714,c11714,s4618,Teresa Lopez,41,Other,Canada,Basic,1421,2
6717,c11717,s16593,Shannon Davis,61,Female,Canada,Standard,3542,5
6719,c11719,s12467,Kyle Webster,64,Other,Canada,Standard,549,3
6720,c11720,s1566,Patricia Salazar,63,Other,India,Standard,1873,4
6721,c11721,s7223,Kurt Nicholson,42,Other,Australia,Standard,4839,5
6722,c11722,s5068,Miranda Davis,35,Male,USA,Basic,522,5
6725,c11725,s8643,Erin Pineda,26,Other,UK,Basic,3263,5
6726,c11726,s15016,Roberta Sparks,63,Female,Australia,Premium,3701,3
6729,c11729,s3884,Steven Russell,19,Other,Australia,Standard,2764,2
6730,c11730,s2876,Joseph Diaz,23,Other,Australia,Basic,4626,4
6731,c11731,s15419,Thomas Benton,49,Other,India,Standard,1623,3
6732,c11732,s16316,Gabriel Brown,35,Male,India,Standard,4211,2
6734,c11734,s4931,Angela Hammond,48,Male,France,Basic,4536,4
6735,c11735,s19918,Dylan Lopez,61,Female,Japan,Premium,1813,2
6736,c11736,s15913,Holly Hartman,56,Female,Japan,Premium,2259,1
6737,c11737,s19754,Robert Barber,26,Female,Germany,Basic,4438,5
6738,c11738,s8131,Abigail Koch,52,Male,India,Basic,4622,3
6740,c11740,s2698,Seth Schneider,77,Other,Australia,Premium,1923,2
6741,c11741,s18806,Karen Cook,19,Male,Australia,Premium,3194,2
6742,c11742,s11401,Kristin Wolf,63,Other,Canada,Basic,2215,5
6743,c11743,s5798,Peter Johnson,32,Male,Australia,Basic,125,3
